Attribute Reference,PIM Attribute ID (Internal PCM),PIM Attribute Name,Product Line,Associated Entity -- Internal PCM Column,Application Area (PCM, Seller Portal, eCommerce etc.),Display Group Name,Description/Comments,Example/Remarks,Attribute Data Type,Length,Unique,Searchable,Removable,Mandatory / Optional,Readable,Editable,List of Values (Y/N),List of Value Table,PDP/ Non PDP,Facet?,Multi valued,Units (Y/N),Unit of Measure (UOM),Default UOM,Default (Y/N),Default Value ,Type,Business Rules,Hint Text,Phase,Modified Date,Raised By,Modified_Comments
PIM_0015,colorfamilyapparel,Color Family,Apparel,,PCM,General,,This is the color family and seller will have to align their products to standard set of colors approved by marketplace,,Text,50,No,,,Mandatory,,,Yes,Color Family,Non PDP,Yes,N,N,-NA,-NA,N,-NA,LOV,,,Phase 1,2015-05-26T00:00,Ipsa/Sarvesh,Updated the attribute length
PIM_0017,stylecode,Style Code,Apparel,,PCM,General,,,,Text,50,No,,,Mandatory,,,No,,Non PDP,No,N,N,-NA,-NA,N,-NA,OPEN TEXT,,,Phase 1,2015-08-05T00:00,Swarna,Changed from LOV to Open text based on Swarna's input. Refer Swarna's mail dt. 5-Aug-15
PIM_0018,colorapparel,Color,Apparel,,PCM,General,,"This is actually the display color on the website, it may contain any value based on the seller requirement",,Text,100,No,,,Mandatory,,,No,,PDP,No,N,N,-NA,-NA,N,-NA,OPEN TEXT,,,Phase 1,2015-05-26T00:00,Ipsa/Sarvesh,Updated the attribute length
PIM_0020,sizechart,Size chart,Apparel,,PCM,General,,,,Text,255,No,,,Mandatory,,,No,,Non PDP,No,N,N,-NA,-NA,N,-NA,OPEN TEXT,,,Phase 1,2015-01-23T00:00,Initial Setup,Initial Setup
PIM_0022,occasion,Occasion,Apparel,,PCM,General,,,,Text,50,No,,,Mandatory,,,Yes,Occasion,Non PDP,No,N,N,-NA,-NA,N,-NA,LOV,,,Phase 1,2015-01-23T00:00,Initial Setup,Initial Setup
PIM_0023,featureapparel,Feature,Apparel,,PCM,General,,,,Text,50,No,,,Optional,,,No,,PDP,No,N,N,-NA,-NA,N,-NA,OPEN TEXT,,,Phase 1,2015-01-23T00:00,Initial Setup,Initial Setup
PIM_0024,stylenote,Style Note,Apparel,,PCM,General,,,,Large Text,600,No,,,Mandatory,,,No,,Non PDP,No,N,N,-NA,-NA,N,-NA,OPEN TEXT,,,Phase 1,2016-08-23T00:00,Dean Faria,PIM_0024 - Style Note Attribute Field length has been changed from 220 to 440 as per CR- TPR-540
PIM_0025,modelfit,Model fit,Apparel,,PCM,General,,,,Text,150,No,,,Mandatory,,,No,,PDP,No,N,N,-NA,-NA,N,-NA,OPEN TEXT,,,Phase 1,2015-01-23T00:00,Initial Setup,Initial Setup
PIM_0027,trousertype,Trouser Type,Apparel,,PCM,General,,,,Text,50,No,,,Mandatory,,,Yes,Trouser Type,Non PDP,No,N,N,-NA,-NA,N,-NA,LOV,,,Phase 1,2015-01-23T00:00,Initial Setup,Initial Setup
PIM_0028,Cut,Cut,Apparel,,PCM,General,,,,Text,50,No,,,Optional,,,Yes,Cut,Non PDP,No,N,N,-NA,-NA,N,-NA,LOV,,,Phase 1,2015-01-23T00:00,Initial Setup,Initial Setup
PIM_0029,tshirttype,Tshirt Type,Apparel,,PCM,General,,,,Text,50,No,,,Optional,,,Yes,Tshirt Type,Non PDP,No,N,N,-NA,-NA,N,-NA,LOV,,,Phase 1,2015-01-23T00:00,Initial Setup,Initial Setup
