"category_id","code","name","description","parent_id","level","path","active","metadata"
"CAT_apparelCC","apparelCC","apparelClassifyingCategory","Apparel classification category","","1","/apparelCC","true","{""displayOrder"": 1, ""imageUrl"": ""https://example.com/images/apparelcc.jpg""}"
"CAT_womencasualbottomwearjeanslowersizeCC","womencasualbottomwearjeanslowersizeCC","womencasualbottomwearjeanslowersizeClassifyingCategory","Women's casual bottom wear jeans size category","","1","/womencasualbottomwearjeanslowersizeCC","true","{""displayOrder"": 2, ""imageUrl"": ""https://example.com/images/womencasualbottomwearjeanslowersizecc.jpg""}"
"CAT_womencasualtopwearsleeveCC","womencasualtopwearsleeveCC","womencasualtopwearsleeveClassifyingCategory","Women's casual top wear sleeve category","","1","/womencasualtopwearsleeveCC","true","{""displayOrder"": 3, ""imageUrl"": ""https://example.com/images/womencasualtopwearsleevecc.jpg""}"
"CAT_womenpatternCC","womenpatternCC","womenpatternClassifyingCategory","Women's pattern category","","1","/womenpatternCC","true","{""displayOrder"": 4, ""imageUrl"": ""https://example.com/images/womenpatterncc.jpg""}"omenpatternCC","womenpatternClassifyingCategory","womenpatternClassifyingCategory category","","1","/womenpatternCC","true","{""displayOrder"": 4, ""imageUrl"": ""https://example.com/images/womenpatterncc.jpg""}"
"CAT_dresslengthCC","dresslengthCC","dresslengthClassifyingCategory","dresslengthClassifyingCategory category","","1","/dresslengthCC","true","{""displayOrder"": 5, ""imageUrl"": ""https://example.com/images/dresslengthcc.jpg""}"
"CAT_womentopwearfitCC","womentopwearfitCC","womentopwearfitClassifyingCategory","womentopwearfitClassifyingCategory category","","1","/womentopwearfitCC","true","{""displayOrder"": 6, ""imageUrl"": ""https://example.com/images/womentopwearfitcc.jpg""}"
"CAT_womencasualtopwearsizeCC","womencasualtopwearsizeCC","womencasualtopwearsizeClassifyingCategory","womencasualtopwearsizeClassifyingCategory category","","1","/womencasualtopwearsizeCC","true","{""displayOrder"": 7, ""imageUrl"": ""https://example.com/images/womencasualtopwearsizecc.jpg""}"
"CAT_tshirttypeCC","tshirttypeCC","tshirttypeClassifyingCategory","tshirttypeClassifyingCategory category","","1","/tshirttypeCC","true","{""displayOrder"": 8, ""imageUrl"": ""https://example.com/images/tshirttypecc.jpg""}"
"CAT_wiringCC","wiringCC","wiringClassifyingCategory","wiringClassifyingCategory category","","1","/wiringCC","true","{""displayOrder"": 9, ""imageUrl"": ""https://example.com/images/wiringcc.jpg""}"
"CAT_womeninnerwearbrasizeCC","womeninnerwearbrasizeCC","womeninnerwearbrasizeClassifyingCategory","womeninnerwearbrasizeClassifyingCategory category","","1","/womeninnerwearbrasizeCC","true","{""displayOrder"": 10, ""imageUrl"": ""https://example.com/images/womeninnerwearbrasizecc.jpg""}"
"CAT_womeninnerwearbriefsizeCC","womeninnerwearbriefsizeCC","womeninnerwearbriefsizeClassifyingCategory","womeninnerwearbriefsizeClassifyingCategory category","","1","/womeninnerwearbriefsizeCC","true","{""displayOrder"": 11, ""imageUrl"": ""https://example.com/images/womeninnerwearbriefsizecc.jpg""}"
"CAT_bratypeCC","bratypeCC","bratypeClassifyingCategory","bratypeClassifyingCategory category","","1","/bratypeCC","true","{""displayOrder"": 12, ""imageUrl"": ""https://example.com/images/bratypecc.jpg""}"
"CAT_sleepwearcoverageCC","sleepwearcoverageCC","sleepwearcoverageClassifyingCategory","sleepwearcoverageClassifyingCategory category","","1","/sleepwearcoverageCC","true","{""displayOrder"": 13, ""imageUrl"": ""https://example.com/images/sleepwearcoveragecc.jpg""}"
