product_code,platform_code,is_active,display_order,status
TCLQ-MTSHIRT-001,TCLQ_WEB,true,1,ACTIVE
TCLQ-MTSHIRT-001,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-MTSHIRT-001,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-MTSHIRT-001,TCLQ_IOS,true,1,ACTIVE
TCLQ-MTSHIRT-002,TCLQ_WEB,true,1,ACTIVE
TCLQ-MTSHIRT-002,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-MTSHIRT-002,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-MTSHIRT-002,TCLQ_IOS,true,1,ACTIVE
TCLQ-WDRESS-001,TCLQ_WEB,true,1,ACTIVE
TCLQ-WDRESS-001,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-WDRESS-001,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-WDRESS-001,TCLQ_IOS,true,1,ACTIVE
TCLQ-WDRESS-002,TCLQ_WEB,true,1,ACTIVE
TCLQ-WDRESS-002,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-WDRESS-002,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-WDRESS-002,TCLQ_IOS,true,1,ACTIVE
TCLQ-MJEANS-001,TCLQ_WEB,true,1,ACTIVE
TCLQ-MJEANS-001,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-MJEANS-001,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-MJEANS-001,TCLQ_IOS,true,1,ACTIVE
TCLQ-MJEANS-002,TCLQ_WEB,true,1,ACTIVE
TCLQ-MJEANS-002,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-MJEANS-002,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-MJEANS-002,TCLQ_IOS,true,1,ACTIVE
TCLQ-WKURTA-001,TCLQ_WEB,true,1,ACTIVE
TCLQ-WKURTA-001,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-WKURTA-001,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-WKURTA-001,TCLQ_IOS,true,1,ACTIVE
TCLQ-WKURTA-002,TCLQ_WEB,true,1,ACTIVE
TCLQ-WKURTA-002,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-WKURTA-002,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-WKURTA-002,TCLQ_IOS,true,1,ACTIVE
TCLQ-MSHIRT-001,TCLQ_WEB,true,1,ACTIVE
TCLQ-MSHIRT-001,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-MSHIRT-001,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-MSHIRT-001,TCLQ_IOS,true,1,ACTIVE
TCLQ-MSHIRT-002,TCLQ_WEB,true,1,ACTIVE
TCLQ-MSHIRT-002,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-MSHIRT-002,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-MSHIRT-002,TCLQ_IOS,true,1,ACTIVE
TCLQ-WSKIRT-001,TCLQ_WEB,true,1,ACTIVE
TCLQ-WSKIRT-001,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-WSKIRT-001,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-WSKIRT-001,TCLQ_IOS,true,1,ACTIVE
TCLQ-WSKIRT-002,TCLQ_WEB,true,1,ACTIVE
TCLQ-WSKIRT-002,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-WSKIRT-002,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-WSKIRT-002,TCLQ_IOS,true,1,ACTIVE
TCLQ-MBLAZER-001,TCLQ_WEB,true,1,ACTIVE
TCLQ-MBLAZER-001,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-MBLAZER-001,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-MBLAZER-001,TCLQ_IOS,true,1,ACTIVE
TCLQ-MBLAZER-002,TCLQ_WEB,true,1,ACTIVE
TCLQ-MBLAZER-002,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-MBLAZER-002,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-MBLAZER-002,TCLQ_IOS,true,1,ACTIVE
TCLQ-WSAREE-001,TCLQ_WEB,true,1,ACTIVE
TCLQ-WSAREE-001,TCLQ_MOBILE_WEB,true,1,ACTIVE
TCLQ-WSAREE-001,TCLQ_ANDROID,true,1,ACTIVE
TCLQ-WSAREE-001,TCLQ_IOS,true,1,ACTIVE
