Category_Level1_name,Category_Level1_Code,Category_Level2_name,Category_Level2_Code,Category_Level3_name,Category_Level3_Code,Category_Level4_name,Category_Level4_Code,Comments
Apparel ,MPH11,Men's Apparel,MPH1111,Mens formal,MPH1111100,Formal shirt,MPH1111100100
Apparel ,MPH11,Men's Apparel,MPH1111,Mens formal,MPH1111100,Formal trousers,MPH1111100101
Apparel ,MPH11,Men's Apparel,MPH1111,Mens formal,MPH1111100,Formal suits,MPH1111100102
Apparel ,MPH11,Men's Apparel,MPH1111,Mens formal,MPH1111100,Formal coats & jackets,MPH1111100103
Apparel ,MPH11,Men's Apparel,MPH1111,Mens formal,MPH1111100,Others,MPH1111100104
Apparel ,MPH11,Men's Apparel,MPH1111,Mens formal,MPH1111100,Others1,MPH1111100105
Apparel ,MPH11,Men's Apparel,MPH1111,Mens formal,MPH1111100,Others2,MPH1111100106
Apparel ,MPH11,Men's Apparel,MPH1111,Mens casual,MPH1111101,T-Shirts,MPH1111101100
Apparel ,MPH11,Men's Apparel,MPH1111,Mens casual,MPH1111101,casual shirts,MPH1111101101
Apparel ,MPH11,Men's Apparel,MPH1111,Mens casual,MPH1111101,Jeans,MPH1111101102
Apparel ,MPH11,Men's Apparel,MPH1111,Mens casual,MPH1111101,Casual trousers,MPH1111101103
Apparel ,MPH11,Men's Apparel,MPH1111,Mens casual,MPH1111101,Shorts,MPH1111101104
Apparel ,MPH11,Men's Apparel,MPH1111,Mens casual,MPH1111101,Sweatshirts and hoodies,MPH1111101105
Apparel ,MPH11,Men's Apparel,MPH1111,Mens casual,MPH1111101,Sweaters,MPH1111101106
Apparel ,MPH11,Men's Apparel,MPH1111,Mens casual,MPH1111101,Casual Jackets,MPH1111101107
Apparel ,MPH11,Men's Apparel,MPH1111,Mens casual,MPH1111101,Track pants,MPH1111101108
Apparel,MPH11,Men's Apparel,MPH1111,Mens casual,MPH1111101,Blazers,MPH1111101109
Apparel,MPH11,Men's Apparel,MPH1111,Mens casual,MPH1111101,Rain Wear,MPH1111101110,Renamed from Others to Rainwear
Apparel,MPH11,Men's Apparel,MPH1111,Mens casual,MPH1111101,Others1,MPH1111101111
Apparel,MPH11,Men's Apparel,MPH1111,Mens casual,MPH1111101,Others2,MPH1111101112
Apparel ,MPH11,Men's Apparel,MPH1111,Mens Sports,MPH1111102,Sports tshirt,MPH1111102100
Apparel ,MPH11,Men's Apparel,MPH1111,Mens Sports,MPH1111102,Sports shorts,MPH1111102101
Apparel ,MPH11,Men's Apparel,MPH1111,Mens Sports,MPH1111102,Sports sets,MPH1111102102
